dataid,utc,use,air1,air2,air3,airwindowunit1,aquarium1,bathroom1,bathroom2,bedroom1,bedroom2,bedroom3,bedroom4,bedroom5,clotheswasher1,clotheswasher_dryg1,diningroom1,diningroom2,dishwasher1,disposal1,drye1,dryg1,freezer1,furnace1,furnace2,garage1,garage2,heater1,housefan1,icemaker1,jacuzzi1,kitchen1,kitchen2,kitchenapp1,kitchenapp2,lights_plugs1,lights_plugs2,lights_plugs3,lights_plugs4,lights_plugs5,lights_plugs6,livingroom1,livingroom2,microwave1,office1,outsidelights_plugs1,outsidelights_plugs2,oven1,oven2,pool1,pool2,poollight1,poolpump1,pump1,range1,refrigerator1,refrigerator2,security1,shed1,sprinkler1,subpanel1,subpanel2,unknown1,unknown2,unknown3,unknown4,utilityroom1,venthood1,waterheater1,waterheater2,winecooler1
4031,1/1/14,1.172,,,,,,,,0.155,,,,,0.000,,,,0.041,0.000,0.000,,,0.014,,,,,,,,,,0.004,,0.000,0.142,0.052,,,,,,0.004,0.024,,,,,,,,,,,0.062,,,,,1.145,,,,,,,,,,
4031,1/1/14 0:15,1.330,,,,,,,,0.159,,,,,0.000,,,,0.041,0.000,0.000,,,0.014,,,,,,,,,,0.013,,0.000,0.126,0.055,,,,,,0.000,0.029,,,,,,,,,,,0.200,,,,,1.327,,,,,,,,,,
4031,1/1/14 0:30,0.728,,,,,,,,0.055,,,,,0.000,,,,0.041,0.000,0.000,,,0.015,,,,,,,,,,0.009,,0.000,0.059,0.044,,,,,,0.003,0.055,,,,,,,,,,,0.084,,,,,0.723,,,,,,,,,,
4031,1/1/14 0:45,0.728,,,,,,,,0.048,,,,,0.000,,,,0.041,0.000,0.000,,,0.105,,,,,,,,,,0.009,,0.000,0.000,0.044,,,,,,0.003,0.055,,,,,,,,,,,0.082,,,,,0.725,,,,,,,,,,
4031,1/1/14 1:00,0.643,,,,,,,,0.048,,,,,0.000,,,,0.041,0.000,0.000,,,0.019,,,,,,,,,,0.009,,0.000,0.000,0.044,,,,,,0.003,0.054,,,,,,,,,,,0.084,,,,,0.637,,,,,,,,,,
4031,1/1/14 1:15,0.688,,,,,,,,0.047,,,,,0.000,,,,0.041,0.000,0.000,,,0.015,,,,,,,,,,0.007,,0.000,0.000,0.044,,,,,,0.003,0.053,,,,,,,,,,,0.137,,,,,0.684,,,,,,,,,,
4031,1/1/14 1:30,0.744,,,,,,,,0.047,,,,,0.000,,,,0.041,0.000,0.000,,,0.108,,,,,,,,,,0.006,,0.000,0.000,0.044,,,,,,0.003,0.053,,,,,,,,,,,0.101,,,,,0.741,,,,,,,,,,
4031,1/1/14 1:45,0.648,,,,,,,,0.047,,,,,0.000,,,,0.041,0.000,0.000,,,0.019,,,,,,,,,,0.005,,0.000,0.000,0.044,,,,,,0.003,0.053,,,,,,,,,,,0.094,,,,,0.643,,,,,,,,,,
4031,1/1/14 2:00,0.717,,,,,,,,0.047,,,,,0.000,,,,0.041,0.000,0.000,,,0.110,,,,,,,,,,0.004,,0.000,0.000,0.044,,,,,,0.003,0.053,,,,,,,,,,,0.073,,,,,0.714,,,,,,,,,,
4031,1/1/14 2:15,0.745,,,,,,,,0.046,,,,,0.000,,,,0.041,0.000,0.000,,,0.114,,,,,,,,,,0.004,,0.000,0.000,0.044,,,,,,0.003,0.053,,,,,,,,,,,0.097,,,,,0.743,,,,,,,,,,
